feature-1,feature-2,|r|,ng,r_value,fdr_p_value,raw_p_value
Acetatifactor sp. AF36-18BH,Acetatifactor sp. AM34-9AC,0.94217,pos,0.94217,0,0
Acetatifactor sp. AF46-9NS,Acetatifactor sp. AM34-9AC,0.91788,pos,0.91788,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. GCA_003584705,0.81978,pos,0.81978,0,0
Acetatifactor sp. 13470_2_92,Acetatifactor sp. GCA_003584705,0.89721,pos,0.89721,0,0
Acetatifactor sp. 18048_1_87,Acetatifactor sp. GCA_003584705,0.57397,pos,0.57397,0,0
Acetatifactor sp. AF34-10BH,Acetatifactor sp. GCA_003584705,0.93549,pos,0.93549,0,0
Acetatifactor sp. AF36-18BH,Acetatifactor sp. GCA_003584705,0.93091,pos,0.93091,0,0
Acetatifactor sp. AF46-9NS,Acetatifactor sp. GCA_003584705,0.91402,pos,0.91402,0,0
Acetatifactor sp. AM34-9AC,Acetatifactor sp. GCA_003584705,0.9216,pos,0.9216,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. TF08-15,0.85399,pos,0.85399,0,0
Acetatifactor sp. 13470_2_92,Acetatifactor sp. TF08-15,0.8963,pos,0.8963,0,0
Acetatifactor sp. 18048_1_87,Acetatifactor sp. TF08-15,0.56627,pos,0.56627,0,0
Acetatifactor sp. AF34-10BH,Acetatifactor sp. TF08-15,0.92756,pos,0.92756,0,0
Acetatifactor sp. AF36-18BH,Acetatifactor sp. TF08-15,0.93792,pos,0.93792,0,0
Acetatifactor sp. AF46-9NS,Acetatifactor sp. TF08-15,0.91207,pos,0.91207,0,0
Acetatifactor sp. AM34-9AC,Acetatifactor sp. TF08-15,0.9503,pos,0.9503,0,0
Acetatifactor sp. GCA_003584705,Acetatifactor sp. TF08-15,0.91075,pos,0.91075,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. TM11-1A,0.85486,pos,0.85486,0,0
Acetatifactor sp. 13470_2_92,Acetatifactor sp. TM11-1A,0.92173,pos,0.92173,0,0
Acetatifactor sp. 18048_1_87,Acetatifactor sp. TM11-1A,0.58007,pos,0.58007,0,0
Acetatifactor sp. AF34-10BH,Acetatifactor sp. TM11-1A,0.94313,pos,0.94313,0,0
Acetatifactor sp. AF36-18BH,Acetatifactor sp. TM11-1A,0.9532,pos,0.9532,0,0
Acetatifactor sp. AF46-9NS,Acetatifactor sp. TM11-1A,0.92568,pos,0.92568,0,0
Acetatifactor sp. AM34-9AC,Acetatifactor sp. TM11-1A,0.93774,pos,0.93774,0,0
Acetatifactor sp. GCA_003584705,Acetatifactor sp. TM11-1A,0.93377,pos,0.93377,0,0
Acetatifactor sp. TF08-15,Acetatifactor sp. TM11-1A,0.93213,pos,0.93213,0,0
Acetatifactor sp. AF34-10BH,Agathobacter faecis 21673_4_84,0.31772,pos,0.31772,0,0
Acetatifactor sp. AF36-18BH,Agathobacter faecis 21673_4_84,0.30062,pos,0.30062,0,0
Acetatifactor sp. AM34-9AC,Agathobacter faecis 21673_4_84,0.30401,pos,0.30401,0,0
Acetatifactor sp. GCA_003584705,Agathobacter faecis 21673_4_84,0.31072,pos,0.31072,0,0
Acetatifactor sp. TM11-1A,Agathobacter faecis 21673_4_84,0.3155,pos,0.3155,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter faecis GCA_001405615,0.32213,pos,0.32213,0,0
Acetatifactor sp. 13470_2_92,Agathobacter faecis GCA_001405615,0.31766,pos,0.31766,0,0
Acetatifactor sp. AF34-10BH,Agathobacter faecis GCA_001405615,0.33897,pos,0.33897,0,0
Acetatifactor sp. AF36-18BH,Agathobacter faecis GCA_001405615,0.31876,pos,0.31876,0,0
Acetatifactor sp. AM34-9AC,Agathobacter faecis GCA_001405615,0.33094,pos,0.33094,0,0
Acetatifactor sp. GCA_003584705,Agathobacter faecis GCA_001405615,0.32908,pos,0.32908,0,0
Acetatifactor sp. TF08-15,Agathobacter faecis GCA_001405615,0.315,pos,0.315,0,0
Acetatifactor sp. TM11-1A,Agathobacter faecis GCA_001405615,0.34161,pos,0.34161,0,0
Agathobacter faecis 21673_4_84,Agathobacter faecis GCA_001405615,0.93943,pos,0.93943,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter faecis GCA_001406815,0.32768,pos,0.32768,0,0
Acetatifactor sp. 13470_2_92,Agathobacter faecis GCA_001406815,0.31465,pos,0.31465,0,0
Acetatifactor sp. AF34-10BH,Agathobacter faecis GCA_001406815,0.3285,pos,0.3285,0,0
Acetatifactor sp. AF36-18BH,Agathobacter faecis GCA_001406815,0.31376,pos,0.31376,0,0
Acetatifactor sp. AM34-9AC,Agathobacter faecis GCA_001406815,0.32326,pos,0.32326,0,0
Acetatifactor sp. GCA_003584705,Agathobacter faecis GCA_001406815,0.31565,pos,0.31565,0,0
Acetatifactor sp. TF08-15,Agathobacter faecis GCA_001406815,0.31715,pos,0.31715,0,0
Acetatifactor sp. TM11-1A,Agathobacter faecis GCA_001406815,0.33549,pos,0.33549,0,0
Agathobacter faecis 21673_4_84,Agathobacter faecis GCA_001406815,0.93133,pos,0.93133,0,0
Agathobacter faecis GCA_001405615,Agathobacter faecis GCA_001406815,0.94732,pos,0.94732,0,0
Acetatifactor sp. AF34-10BH,Agathobacter faecis GCA_009718425,0.3145,pos,0.3145,0,0
Acetatifactor sp. AF36-18BH,Agathobacter faecis GCA_009718425,0.30093,pos,0.30093,0,0
Acetatifactor sp. AM34-9AC,Agathobacter faecis GCA_009718425,0.30549,pos,0.30549,0,0
Acetatifactor sp. GCA_003584705,Agathobacter faecis GCA_009718425,0.31871,pos,0.31871,0,0
Acetatifactor sp. TM11-1A,Agathobacter faecis GCA_009718425,0.31168,pos,0.31168,0,0
Agathobacter faecis 21673_4_84,Agathobacter faecis GCA_009718425,0.51216,pos,0.51216,0,0
Agathobacter faecis GCA_001405615,Agathobacter faecis GCA_009718425,0.53179,pos,0.53179,0,0
Agathobacter faecis GCA_001406815,Agathobacter faecis GCA_009718425,0.50463,pos,0.50463,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter faecis GCA_015549075,0.30414,pos,0.30414,0,0
Acetatifactor sp. AF34-10BH,Agathobacter faecis GCA_015549075,0.32195,pos,0.32195,0,0
Acetatifactor sp. AM34-9AC,Agathobacter faecis GCA_015549075,0.30809,pos,0.30809,0,0
Acetatifactor sp. GCA_003584705,Agathobacter faecis GCA_015549075,0.31436,pos,0.31436,0,0
Acetatifactor sp. TM11-1A,Agathobacter faecis GCA_015549075,0.32022,pos,0.32022,0,0
Agathobacter faecis 21673_4_84,Agathobacter faecis GCA_015549075,0.92517,pos,0.92517,0,0
Agathobacter faecis GCA_001405615,Agathobacter faecis GCA_015549075,0.94972,pos,0.94972,0,0
Agathobacter faecis GCA_001406815,Agathobacter faecis GCA_015549075,0.9588,pos,0.9588,0,0
Agathobacter faecis GCA_009718425,Agathobacter faecis GCA_015549075,0.51056,pos,0.51056,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter faecis GCA_015550045,0.33507,pos,0.33507,0,0
Acetatifactor sp. 13470_2_92,Agathobacter faecis GCA_015550045,0.3247,pos,0.3247,0,0
Acetatifactor sp. AF34-10BH,Agathobacter faecis GCA_015550045,0.33883,pos,0.33883,0,0
Acetatifactor sp. AF36-18BH,Agathobacter faecis GCA_015550045,0.32766,pos,0.32766,0,0
Acetatifactor sp. AM34-9AC,Agathobacter faecis GCA_015550045,0.33343,pos,0.33343,0,0
Acetatifactor sp. GCA_003584705,Agathobacter faecis GCA_015550045,0.324,pos,0.324,0,0
Acetatifactor sp. TF08-15,Agathobacter faecis GCA_015550045,0.31859,pos,0.31859,0,0
Acetatifactor sp. TM11-1A,Agathobacter faecis GCA_015550045,0.34807,pos,0.34807,0,0
Agathobacter faecis 21673_4_84,Agathobacter faecis GCA_015550045,0.93167,pos,0.93167,0,0
Agathobacter faecis GCA_001405615,Agathobacter faecis GCA_015550045,0.95202,pos,0.95202,0,0
Agathobacter faecis GCA_001406815,Agathobacter faecis GCA_015550045,0.95926,pos,0.95926,0,0
Agathobacter faecis GCA_009718425,Agathobacter faecis GCA_015550045,0.51475,pos,0.51475,0,0
Agathobacter faecis GCA_015549075,Agathobacter faecis GCA_015550045,0.96293,pos,0.96293,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter faecis GCA_015556245,0.36247,pos,0.36247,0,0
Acetatifactor sp. 13470_2_92,Agathobacter faecis GCA_015556245,0.358,pos,0.358,0,0
Acetatifactor sp. AF34-10BH,Agathobacter faecis GCA_015556245,0.37703,pos,0.37703,0,0
Acetatifactor sp. AF36-18BH,Agathobacter faecis GCA_015556245,0.35967,pos,0.35967,0,0
Acetatifactor sp. AF46-9NS,Agathobacter faecis GCA_015556245,0.30042,pos,0.30042,0,0
Acetatifactor sp. AM34-9AC,Agathobacter faecis GCA_015556245,0.36059,pos,0.36059,0,0
Acetatifactor sp. GCA_003584705,Agathobacter faecis GCA_015556245,0.36974,pos,0.36974,0,0
Acetatifactor sp. TF08-15,Agathobacter faecis GCA_015556245,0.34892,pos,0.34892,0,0
Acetatifactor sp. TM11-1A,Agathobacter faecis GCA_015556245,0.37891,pos,0.37891,0,0
Agathobacter faecis 21673_4_84,Agathobacter faecis GCA_015556245,0.90033,pos,0.90033,0,0
Agathobacter faecis GCA_001405615,Agathobacter faecis GCA_015556245,0.92415,pos,0.92415,0,0
Agathobacter faecis GCA_001406815,Agathobacter faecis GCA_015556245,0.92808,pos,0.92808,0,0
Agathobacter faecis GCA_009718425,Agathobacter faecis GCA_015556245,0.4874,pos,0.4874,0,0
Agathobacter faecis GCA_015549075,Agathobacter faecis GCA_015556245,0.93225,pos,0.93225,0,0
Agathobacter faecis GCA_015550045,Agathobacter faecis GCA_015556245,0.93034,pos,0.93034,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter faecis GCA_015558055,0.32685,pos,0.32685,0,0
Acetatifactor sp. 13470_2_92,Agathobacter faecis GCA_015558055,0.33222,pos,0.33222,0,0
Acetatifactor sp. AF34-10BH,Agathobacter faecis GCA_015558055,0.35242,pos,0.35242,0,0
Acetatifactor sp. AF36-18BH,Agathobacter faecis GCA_015558055,0.34013,pos,0.34013,0,0
Acetatifactor sp. AM34-9AC,Agathobacter faecis GCA_015558055,0.3531,pos,0.3531,0,0
Acetatifactor sp. GCA_003584705,Agathobacter faecis GCA_015558055,0.34575,pos,0.34575,0,0
Acetatifactor sp. TF08-15,Agathobacter faecis GCA_015558055,0.33761,pos,0.33761,0,0
Acetatifactor sp. TM11-1A,Agathobacter faecis GCA_015558055,0.35508,pos,0.35508,0,0
Agathobacter faecis 21673_4_84,Agathobacter faecis GCA_015558055,0.92237,pos,0.92237,0,0
Agathobacter faecis GCA_001405615,Agathobacter faecis GCA_015558055,0.94344,pos,0.94344,0,0
Agathobacter faecis GCA_001406815,Agathobacter faecis GCA_015558055,0.94893,pos,0.94893,0,0
Agathobacter faecis GCA_009718425,Agathobacter faecis GCA_015558055,0.52911,pos,0.52911,0,0
Agathobacter faecis GCA_015549075,Agathobacter faecis GCA_015558055,0.95277,pos,0.95277,0,0
Agathobacter faecis GCA_015550045,Agathobacter faecis GCA_015558055,0.94869,pos,0.94869,0,0
Agathobacter faecis GCA_015556245,Agathobacter faecis GCA_015558055,0.93538,pos,0.93538,0,0
Acetatifactor sp. 13470_2_92,Agathobacter faecis GCA_015559645,0.30288,pos,0.30288,0,0
Agathobacter faecis 21673_4_84,Agathobacter faecis GCA_015559645,0.85769,pos,0.85769,0,0
Agathobacter faecis GCA_001405615,Agathobacter faecis GCA_015559645,0.8639,pos,0.8639,0,0
Agathobacter faecis GCA_001406815,Agathobacter faecis GCA_015559645,0.88555,pos,0.88555,0,0
Agathobacter faecis GCA_009718425,Agathobacter faecis GCA_015559645,0.47942,pos,0.47942,0,0
Agathobacter faecis GCA_015549075,Agathobacter faecis GCA_015559645,0.87185,pos,0.87185,0,0
Agathobacter faecis GCA_015550045,Agathobacter faecis GCA_015559645,0.8779,pos,0.8779,0,0
Agathobacter faecis GCA_015556245,Agathobacter faecis GCA_015559645,0.84536,pos,0.84536,0,0
Agathobacter faecis GCA_015558055,Agathobacter faecis GCA_015559645,0.88487,pos,0.88487,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter faecis GCA_015667215,0.32108,pos,0.32108,0,0
Acetatifactor sp. 13470_2_92,Agathobacter faecis GCA_015667215,0.32284,pos,0.32284,0,0
Acetatifactor sp. AF34-10BH,Agathobacter faecis GCA_015667215,0.34307,pos,0.34307,0,0
Acetatifactor sp. AF36-18BH,Agathobacter faecis GCA_015667215,0.32012,pos,0.32012,0,0
Acetatifactor sp. AM34-9AC,Agathobacter faecis GCA_015667215,0.33329,pos,0.33329,0,0
Acetatifactor sp. GCA_003584705,Agathobacter faecis GCA_015667215,0.33083,pos,0.33083,0,0
Acetatifactor sp. TF08-15,Agathobacter faecis GCA_015667215,0.31563,pos,0.31563,0,0
Acetatifactor sp. TM11-1A,Agathobacter faecis GCA_015667215,0.34784,pos,0.34784,0,0
Agathobacter faecis 21673_4_84,Agathobacter faecis GCA_015667215,0.92637,pos,0.92637,0,0
Agathobacter faecis GCA_001405615,Agathobacter faecis GCA_015667215,0.94503,pos,0.94503,0,0
Agathobacter faecis GCA_001406815,Agathobacter faecis GCA_015667215,0.95247,pos,0.95247,0,0
Agathobacter faecis GCA_009718425,Agathobacter faecis GCA_015667215,0.50035,pos,0.50035,0,0
Agathobacter faecis GCA_015549075,Agathobacter faecis GCA_015667215,0.95375,pos,0.95375,0,0
Agathobacter faecis GCA_015550045,Agathobacter faecis GCA_015667215,0.96267,pos,0.96267,0,0
Agathobacter faecis GCA_015556245,Agathobacter faecis GCA_015667215,0.92005,pos,0.92005,0,0
Agathobacter faecis GCA_015558055,Agathobacter faecis GCA_015667215,0.94281,pos,0.94281,0,0
Agathobacter faecis GCA_015559645,Agathobacter faecis GCA_015667215,0.87027,pos,0.87027,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter faecis TF10-5,0.3378,pos,0.3378,0,0
Acetatifactor sp. 13470_2_92,Agathobacter faecis TF10-5,0.31324,pos,0.31324,0,0
Acetatifactor sp. AF34-10BH,Agathobacter faecis TF10-5,0.33092,pos,0.33092,0,0
Acetatifactor sp. AF36-18BH,Agathobacter faecis TF10-5,0.31874,pos,0.31874,0,0
Acetatifactor sp. AM34-9AC,Agathobacter faecis TF10-5,0.32987,pos,0.32987,0,0
Acetatifactor sp. GCA_003584705,Agathobacter faecis TF10-5,0.31952,pos,0.31952,0,0
Acetatifactor sp. TF08-15,Agathobacter faecis TF10-5,0.31403,pos,0.31403,0,0
Acetatifactor sp. TM11-1A,Agathobacter faecis TF10-5,0.33971,pos,0.33971,0,0
Agathobacter faecis 21673_4_84,Agathobacter faecis TF10-5,0.92297,pos,0.92297,0,0
Agathobacter faecis GCA_001405615,Agathobacter faecis TF10-5,0.94977,pos,0.94977,0,0
Agathobacter faecis GCA_001406815,Agathobacter faecis TF10-5,0.96307,pos,0.96307,0,0
Agathobacter faecis GCA_009718425,Agathobacter faecis TF10-5,0.50194,pos,0.50194,0,0
Agathobacter faecis GCA_015549075,Agathobacter faecis TF10-5,0.96038,pos,0.96038,0,0
Agathobacter faecis GCA_015550045,Agathobacter faecis TF10-5,0.96391,pos,0.96391,0,0
Agathobacter faecis GCA_015556245,Agathobacter faecis TF10-5,0.926,pos,0.926,0,0
Agathobacter faecis GCA_015558055,Agathobacter faecis TF10-5,0.94232,pos,0.94232,0,0
Agathobacter faecis GCA_015559645,Agathobacter faecis TF10-5,0.88827,pos,0.88827,0,0
Agathobacter faecis GCA_015667215,Agathobacter faecis TF10-5,0.95825,pos,0.95825,0,0
Anaerostipes caccae OM13-19BHA,Anaerostipes caccae OM13-19BHA,1,pos,1,0,0
Blautia_A massiliensis GCA_009876855,Blautia_A sp. AF13-37,0.5254,pos,0.5254,0,0
Blautia_A massiliensis GCA_009876855,Blautia_A sp. AF37-6AT,0.56095,pos,0.56095,0,0
Blautia_A sp. AF13-37,Blautia_A sp. AF37-6AT,0.7777,pos,0.7777,0,0
Blautia_A sp. AF37-6AT,Blautia_A wexlerae GCA_009881235,0.31171,pos,0.31171,0,0
Blautia_A massiliensis GCA_009876855,Blautia_A wexlerae GCA_009881395,0.555,pos,0.555,0,0
Blautia_A sp. AF13-37,Blautia_A wexlerae GCA_009881395,0.57349,pos,0.57349,0,0
Blautia_A sp. AF37-6AT,Blautia_A wexlerae GCA_009881395,0.67808,pos,0.67808,0,0
Blautia_A wexlerae GCA_009881235,Blautia_A wexlerae GCA_009881395,0.31976,pos,0.31976,0,0
Acetatifactor intestinalis AF22-6AC,Enterocloster bolteae GCA_015547745,0.30071,neg,-0.30071,0,0
Acetatifactor sp. AF36-18BH,Enterocloster bolteae GCA_015547745,0.30008,neg,-0.30008,0,0
Acetatifactor sp. AM34-9AC,Enterocloster bolteae GCA_015547745,0.32252,neg,-0.32252,0,0
Blautia_A wexlerae GCA_009881235,Enterocloster bolteae GCA_015547745,0.5025,pos,0.5025,0,0
Acetatifactor intestinalis AF22-6AC,Enterocloster bolteae GCF_000154365,0.35153,neg,-0.35153,0,0
Acetatifactor sp. 13470_2_92,Enterocloster bolteae GCF_000154365,0.33079,neg,-0.33079,0,0
Acetatifactor sp. AF34-10BH,Enterocloster bolteae GCF_000154365,0.31935,neg,-0.31935,0,0
Acetatifactor sp. AF36-18BH,Enterocloster bolteae GCF_000154365,0.33832,neg,-0.33832,0,0
Acetatifactor sp. AM34-9AC,Enterocloster bolteae GCF_000154365,0.34296,neg,-0.34296,0,0
Acetatifactor sp. GCA_003584705,Enterocloster bolteae GCF_000154365,0.30139,neg,-0.30139,0,0
Acetatifactor sp. TF08-15,Enterocloster bolteae GCF_000154365,0.35477,neg,-0.35477,0,0
Acetatifactor sp. TM11-1A,Enterocloster bolteae GCF_000154365,0.31172,neg,-0.31172,0,0
Agathobacter faecis 21673_4_84,Enterocloster bolteae GCF_000154365,0.32346,neg,-0.32346,0,0
Agathobacter faecis GCA_001405615,Enterocloster bolteae GCF_000154365,0.32573,neg,-0.32573,0,0
Agathobacter faecis GCA_001406815,Enterocloster bolteae GCF_000154365,0.34353,neg,-0.34353,0,0
Agathobacter faecis GCA_015549075,Enterocloster bolteae GCF_000154365,0.30213,neg,-0.30213,0,0
Agathobacter faecis GCA_015550045,Enterocloster bolteae GCF_000154365,0.34157,neg,-0.34157,0,0
Agathobacter faecis GCA_015556245,Enterocloster bolteae GCF_000154365,0.32521,neg,-0.32521,0,0
Agathobacter faecis GCA_015558055,Enterocloster bolteae GCF_000154365,0.31551,neg,-0.31551,0,0
Agathobacter faecis GCA_015559645,Enterocloster bolteae GCF_000154365,0.31113,neg,-0.31113,0,0
Agathobacter faecis GCA_015667215,Enterocloster bolteae GCF_000154365,0.32786,neg,-0.32786,0,0
Agathobacter faecis TF10-5,Enterocloster bolteae GCF_000154365,0.32535,neg,-0.32535,0,0
Enterocloster bolteae AM27-28LB,Enterocloster bolteae GCF_000154365,0.64662,pos,0.64662,0,0
Enterocloster bolteae GCA_015547745,Enterocloster bolteae GCF_000154365,0.45222,pos,0.45222,0,0
Acetatifactor intestinalis AF22-6AC,Faecalimonas phoceensis 8080_1_69,0.3249,neg,-0.3249,0,0
Enterocloster bolteae AM27-28LB,Faecalimonas phoceensis 8080_1_69,0.39419,pos,0.39419,0,0
Enterocloster bolteae GCA_015547745,Faecalimonas phoceensis 8080_1_69,0.34215,pos,0.34215,0,0
Enterocloster bolteae GCF_000154365,Faecalimonas phoceensis 8080_1_69,0.46128,pos,0.46128,0,0
Enterocloster bolteae AM27-28LB,Faecalimonas phoceensis AM23-10LB,0.3089,pos,0.3089,0,0
Enterocloster bolteae GCF_000154365,Faecalimonas phoceensis AM23-10LB,0.34143,pos,0.34143,0,0
Faecalimonas phoceensis 8080_1_69,Faecalimonas phoceensis AM23-10LB,0.77529,pos,0.77529,0,0
Acetatifactor intestinalis AF22-6AC,Faecalimonas phoceensis AM97-06,0.31294,neg,-0.31294,0,0
Enterocloster bolteae AM27-28LB,Faecalimonas phoceensis AM97-06,0.3678,pos,0.3678,0,0
Enterocloster bolteae GCA_015547745,Faecalimonas phoceensis AM97-06,0.34258,pos,0.34258,0,0
Enterocloster bolteae GCF_000154365,Faecalimonas phoceensis AM97-06,0.41342,pos,0.41342,0,0
Faecalimonas phoceensis 8080_1_69,Faecalimonas phoceensis AM97-06,0.82496,pos,0.82496,0,0
Faecalimonas phoceensis AM23-10LB,Faecalimonas phoceensis AM97-06,0.75594,pos,0.75594,0,0
Anaerotignum lactatifermentans_A GCA_016902195,Faecalimonas phoceensis GCA_000156035,0.30863,pos,0.30863,0,0
Blautia_A sp. AF13-37,Faecalimonas phoceensis GCA_000156035,0.30279,pos,0.30279,0,0
Blautia_A sp. AF37-6AT,Faecalimonas phoceensis GCA_000156035,0.32829,pos,0.32829,0,0
Blautia_A wexlerae GCA_009881235,Faecalimonas phoceensis GCA_000156035,0.34218,pos,0.34218,0,0
Enterocloster bolteae AM27-28LB,Faecalimonas phoceensis GCA_000156035,0.36652,pos,0.36652,0,0
Enterocloster bolteae GCA_015547745,Faecalimonas phoceensis GCA_000156035,0.41986,pos,0.41986,0,0
Enterocloster bolteae GCF_000154365,Faecalimonas phoceensis GCA_000156035,0.36752,pos,0.36752,0,0
Faecalimonas phoceensis 8080_1_69,Faecalimonas phoceensis GCA_000156035,0.77069,pos,0.77069,0,0
Faecalimonas phoceensis AM23-10LB,Faecalimonas phoceensis GCA_000156035,0.69889,pos,0.69889,0,0
Faecalimonas phoceensis AM97-06,Faecalimonas phoceensis GCA_000156035,0.78389,pos,0.78389,0,0
Blautia_A sp. AF13-37,Faecalimonas phoceensis GCA_013300945,0.30045,pos,0.30045,0,0
Faecalimonas phoceensis 8080_1_69,Faecalimonas phoceensis GCA_013300945,0.60563,pos,0.60563,0,0
Faecalimonas phoceensis AM23-10LB,Faecalimonas phoceensis GCA_013300945,0.53956,pos,0.53956,0,0
Faecalimonas phoceensis AM97-06,Faecalimonas phoceensis GCA_013300945,0.58312,pos,0.58312,0,0
Faecalimonas phoceensis GCA_000156035,Faecalimonas phoceensis GCA_013300945,0.60273,pos,0.60273,0,0
Blautia_A sp. AF13-37,Faecalimonas phoceensis GCA_900104635,0.30686,pos,0.30686,0,0
Enterocloster bolteae AM27-28LB,Faecalimonas phoceensis GCA_900104635,0.3347,pos,0.3347,0,0
Enterocloster bolteae GCF_000154365,Faecalimonas phoceensis GCA_900104635,0.35775,pos,0.35775,0,0
Faecalimonas phoceensis 8080_1_69,Faecalimonas phoceensis GCA_900104635,0.82972,pos,0.82972,0,0
Faecalimonas phoceensis AM23-10LB,Faecalimonas phoceensis GCA_900104635,0.75032,pos,0.75032,0,0
Faecalimonas phoceensis AM97-06,Faecalimonas phoceensis GCA_900104635,0.82375,pos,0.82375,0,0
Faecalimonas phoceensis GCA_000156035,Faecalimonas phoceensis GCA_900104635,0.77844,pos,0.77844,0,0
Faecalimonas phoceensis GCA_013300945,Faecalimonas phoceensis GCA_900104635,0.59947,pos,0.59947,0,0
Enterocloster bolteae AM27-28LB,Faecalimonas phoceensis GCA_902167955,0.30385,pos,0.30385,0,0
Enterocloster bolteae GCF_000154365,Faecalimonas phoceensis GCA_902167955,0.32165,pos,0.32165,0,0
Faecalimonas phoceensis 8080_1_69,Faecalimonas phoceensis GCA_902167955,0.79849,pos,0.79849,0,0
Faecalimonas phoceensis AM23-10LB,Faecalimonas phoceensis GCA_902167955,0.75442,pos,0.75442,0,0
Faecalimonas phoceensis AM97-06,Faecalimonas phoceensis GCA_902167955,0.77354,pos,0.77354,0,0
Faecalimonas phoceensis GCA_000156035,Faecalimonas phoceensis GCA_902167955,0.75519,pos,0.75519,0,0
Faecalimonas phoceensis GCA_013300945,Faecalimonas phoceensis GCA_902167955,0.58748,pos,0.58748,0,0
Faecalimonas phoceensis GCA_900104635,Faecalimonas phoceensis GCA_902167955,0.76533,pos,0.76533,0,0
Enterocloster bolteae AM27-28LB,Faecalimonas phoceensis LG100-32,0.37561,pos,0.37561,0,0
Enterocloster bolteae GCA_015547745,Faecalimonas phoceensis LG100-32,0.32477,pos,0.32477,0,0
Enterocloster bolteae GCF_000154365,Faecalimonas phoceensis LG100-32,0.38432,pos,0.38432,0,0
Faecalimonas phoceensis 8080_1_69,Faecalimonas phoceensis LG100-32,0.80512,pos,0.80512,0,0
Faecalimonas phoceensis AM23-10LB,Faecalimonas phoceensis LG100-32,0.74793,pos,0.74793,0,0
Faecalimonas phoceensis AM97-06,Faecalimonas phoceensis LG100-32,0.79097,pos,0.79097,0,0
Faecalimonas phoceensis GCA_000156035,Faecalimonas phoceensis LG100-32,0.78577,pos,0.78577,0,0
Faecalimonas phoceensis GCA_013300945,Faecalimonas phoceensis LG100-32,0.59416,pos,0.59416,0,0
Faecalimonas phoceensis GCA_900104635,Faecalimonas phoceensis LG100-32,0.77748,pos,0.77748,0,0
Faecalimonas phoceensis GCA_902167955,Faecalimonas phoceensis LG100-32,0.80058,pos,0.80058,0,0
Enterocloster bolteae AM27-28LB,Faecalimonas phoceensis OF02-4LB,0.33847,pos,0.33847,0,0
Enterocloster bolteae GCF_000154365,Faecalimonas phoceensis OF02-4LB,0.35763,pos,0.35763,0,0
Faecalimonas phoceensis 8080_1_69,Faecalimonas phoceensis OF02-4LB,0.80301,pos,0.80301,0,0
Faecalimonas phoceensis AM23-10LB,Faecalimonas phoceensis OF02-4LB,0.7298,pos,0.7298,0,0
