feature-1,feature-2,|r|,ng,r_value,fdr_p_value,raw_p_value
Acetatifactor intestinalis GCA_014337175,Acetatifactor sp. 13470_2_92,0.48926,pos,0.48926,0,0
Acetatifactor intestinalis OM08-11AC,Acetatifactor sp. 13470_2_92,0.47887,pos,0.47887,0,0
Acetatifactor intestinalis 13414_6_67,Acetatifactor sp. AF34-10BH,0.84039,pos,0.84039,0,0
Acetatifactor intestinalis 20287_6_17,Acetatifactor sp. AF34-10BH,0.82593,pos,0.82593,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. AF34-10BH,0.84515,pos,0.84515,0,0
Acetatifactor intestinalis AM59-13,Acetatifactor sp. AF34-10BH,0.86431,pos,0.86431,0,0
Acetatifactor intestinalis GCA_014337175,Acetatifactor sp. AF34-10BH,0.86376,pos,0.86376,0,0
Acetatifactor intestinalis OM08-11AC,Acetatifactor sp. AF34-10BH,0.84515,pos,0.84515,0,0
Acetatifactor sp. 13470_2_92,Acetatifactor sp. AF34-10BH,0.53663,pos,0.53663,0,0
Acetatifactor intestinalis 13414_6_67,Acetatifactor sp. AF36-18BH,0.87368,pos,0.87368,0,0
Acetatifactor intestinalis 20287_6_17,Acetatifactor sp. AF36-18BH,0.86625,pos,0.86625,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. AF36-18BH,0.87459,pos,0.87459,0,0
Acetatifactor intestinalis AM59-13,Acetatifactor sp. AF36-18BH,0.90943,pos,0.90943,0,0
Acetatifactor intestinalis GCA_014337175,Acetatifactor sp. AF36-18BH,0.87278,pos,0.87278,0,0
Acetatifactor intestinalis OM08-11AC,Acetatifactor sp. AF36-18BH,0.89683,pos,0.89683,0,0
Acetatifactor sp. 13470_2_92,Acetatifactor sp. AF36-18BH,0.53607,pos,0.53607,0,0
Acetatifactor sp. AF34-10BH,Acetatifactor sp. AF36-18BH,0.90117,pos,0.90117,0,0
Acetatifactor intestinalis 13414_6_67,Acetatifactor sp. AM34-9AC,0.85041,pos,0.85041,0,0
Acetatifactor intestinalis 20287_6_17,Acetatifactor sp. AM34-9AC,0.84926,pos,0.84926,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. AM34-9AC,0.88672,pos,0.88672,0,0
Acetatifactor intestinalis AM59-13,Acetatifactor sp. AM34-9AC,0.88277,pos,0.88277,0,0
Acetatifactor intestinalis GCA_014337175,Acetatifactor sp. AM34-9AC,0.87213,pos,0.87213,0,0
Acetatifactor intestinalis OM08-11AC,Acetatifactor sp. AM34-9AC,0.88285,pos,0.88285,0,0
Acetatifactor sp. 13470_2_92,Acetatifactor sp. AM34-9AC,0.53046,pos,0.53046,0,0
Acetatifactor sp. AF34-10BH,Acetatifactor sp. AM34-9AC,0.89541,pos,0.89541,0,0
Acetatifactor sp. AF36-18BH,Acetatifactor sp. AM34-9AC,0.91743,pos,0.91743,0,0
Acetatifactor intestinalis 13414_6_67,Acetatifactor sp. GCA_003584705,0.83208,pos,0.83208,0,0
Acetatifactor intestinalis 20287_6_17,Acetatifactor sp. GCA_003584705,0.80541,pos,0.80541,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. GCA_003584705,0.82558,pos,0.82558,0,0
Acetatifactor intestinalis AM59-13,Acetatifactor sp. GCA_003584705,0.83816,pos,0.83816,0,0
Acetatifactor intestinalis GCA_014337175,Acetatifactor sp. GCA_003584705,0.85643,pos,0.85643,0,0
Acetatifactor intestinalis OM08-11AC,Acetatifactor sp. GCA_003584705,0.8525,pos,0.8525,0,0
Acetatifactor sp. 13470_2_92,Acetatifactor sp. GCA_003584705,0.5513,pos,0.5513,0,0
Acetatifactor sp. AF34-10BH,Acetatifactor sp. GCA_003584705,0.88006,pos,0.88006,0,0
Acetatifactor sp. AF36-18BH,Acetatifactor sp. GCA_003584705,0.89783,pos,0.89783,0,0
Acetatifactor sp. AM34-9AC,Acetatifactor sp. GCA_003584705,0.89828,pos,0.89828,0,0
Acetatifactor intestinalis 13414_6_67,Acetatifactor sp. TF08-15,0.81383,pos,0.81383,0,0
Acetatifactor intestinalis 20287_6_17,Acetatifactor sp. TF08-15,0.81534,pos,0.81534,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. TF08-15,0.83542,pos,0.83542,0,0
Acetatifactor intestinalis AM59-13,Acetatifactor sp. TF08-15,0.86837,pos,0.86837,0,0
Acetatifactor intestinalis GCA_014337175,Acetatifactor sp. TF08-15,0.83663,pos,0.83663,0,0
Acetatifactor intestinalis OM08-11AC,Acetatifactor sp. TF08-15,0.85295,pos,0.85295,0,0
Acetatifactor sp. 13470_2_92,Acetatifactor sp. TF08-15,0.51543,pos,0.51543,0,0
Acetatifactor sp. AF34-10BH,Acetatifactor sp. TF08-15,0.88969,pos,0.88969,0,0
Acetatifactor sp. AF36-18BH,Acetatifactor sp. TF08-15,0.93178,pos,0.93178,0,0
Acetatifactor sp. AM34-9AC,Acetatifactor sp. TF08-15,0.89891,pos,0.89891,0,0
Acetatifactor sp. GCA_003584705,Acetatifactor sp. TF08-15,0.88366,pos,0.88366,0,0
Acetatifactor intestinalis 13414_6_67,Acetatifactor sp. TM11-1A,0.84116,pos,0.84116,0,0
Acetatifactor intestinalis 20287_6_17,Acetatifactor sp. TM11-1A,0.8134,pos,0.8134,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. TM11-1A,0.83554,pos,0.83554,0,0
Acetatifactor intestinalis AM59-13,Acetatifactor sp. TM11-1A,0.85077,pos,0.85077,0,0
Acetatifactor intestinalis GCA_014337175,Acetatifactor sp. TM11-1A,0.85057,pos,0.85057,0,0
Acetatifactor intestinalis OM08-11AC,Acetatifactor sp. TM11-1A,0.86455,pos,0.86455,0,0
Acetatifactor sp. 13470_2_92,Acetatifactor sp. TM11-1A,0.56372,pos,0.56372,0,0
Acetatifactor sp. AF34-10BH,Acetatifactor sp. TM11-1A,0.89338,pos,0.89338,0,0
Acetatifactor sp. AF36-18BH,Acetatifactor sp. TM11-1A,0.92342,pos,0.92342,0,0
Acetatifactor sp. AM34-9AC,Acetatifactor sp. TM11-1A,0.90233,pos,0.90233,0,0
Acetatifactor sp. GCA_003584705,Acetatifactor sp. TM11-1A,0.90904,pos,0.90904,0,0
Acetatifactor sp. TF08-15,Acetatifactor sp. TM11-1A,0.91614,pos,0.91614,0,0
Acetatifactor intestinalis 13414_6_67,Agathobacter faecis GCA_015550045,0.34108,pos,0.34108,0,0
Acetatifactor intestinalis 20287_6_17,Agathobacter faecis GCA_015550045,0.35654,pos,0.35654,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter faecis GCA_015550045,0.34257,pos,0.34257,0,0
Acetatifactor intestinalis AM59-13,Agathobacter faecis GCA_015550045,0.35818,pos,0.35818,0,0
Acetatifactor intestinalis GCA_014337175,Agathobacter faecis GCA_015550045,0.34412,pos,0.34412,0,0
Acetatifactor intestinalis OM08-11AC,Agathobacter faecis GCA_015550045,0.3711,pos,0.3711,0,0
Acetatifactor sp. AF34-10BH,Agathobacter faecis GCA_015550045,0.38535,pos,0.38535,0,0
Acetatifactor sp. AF36-18BH,Agathobacter faecis GCA_015550045,0.3822,pos,0.3822,0,0
Acetatifactor sp. AM34-9AC,Agathobacter faecis GCA_015550045,0.36945,pos,0.36945,0,0
Acetatifactor sp. GCA_003584705,Agathobacter faecis GCA_015550045,0.3597,pos,0.3597,0,0
Acetatifactor sp. TF08-15,Agathobacter faecis GCA_015550045,0.3846,pos,0.3846,0,0
Acetatifactor sp. TM11-1A,Agathobacter faecis GCA_015550045,0.38769,pos,0.38769,0,0
Acetatifactor intestinalis 13414_6_67,Agathobacter rectalis 12718_7_53,0.4387,pos,0.4387,0,0
Acetatifactor intestinalis 20287_6_17,Agathobacter rectalis 12718_7_53,0.46845,pos,0.46845,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter rectalis 12718_7_53,0.46135,pos,0.46135,0,0
Acetatifactor intestinalis AM59-13,Agathobacter rectalis 12718_7_53,0.4707,pos,0.4707,0,0
Acetatifactor intestinalis GCA_014337175,Agathobacter rectalis 12718_7_53,0.44725,pos,0.44725,0,0
Acetatifactor intestinalis OM08-11AC,Agathobacter rectalis 12718_7_53,0.4888,pos,0.4888,0,0
Acetatifactor sp. AF34-10BH,Agathobacter rectalis 12718_7_53,0.43738,pos,0.43738,0,0
Acetatifactor sp. AF36-18BH,Agathobacter rectalis 12718_7_53,0.4542,pos,0.4542,0,0
Acetatifactor sp. AM34-9AC,Agathobacter rectalis 12718_7_53,0.45759,pos,0.45759,0,0
Acetatifactor sp. GCA_003584705,Agathobacter rectalis 12718_7_53,0.43242,pos,0.43242,0,0
Acetatifactor sp. TF08-15,Agathobacter rectalis 12718_7_53,0.45662,pos,0.45662,0,0
Acetatifactor sp. TM11-1A,Agathobacter rectalis 12718_7_53,0.44609,pos,0.44609,0,0
Agathobacter faecis GCA_015550045,Agathobacter rectalis 12718_7_53,0.4786,pos,0.4786,0,0
Acetatifactor intestinalis 20287_6_17,Agathobacter rectalis 18048_2_75,0.31263,pos,0.31263,0,0
Acetatifactor intestinalis AM59-13,Agathobacter rectalis 18048_2_75,0.30063,pos,0.30063,0,0
Acetatifactor intestinalis GCA_014337175,Agathobacter rectalis 18048_2_75,0.33475,pos,0.33475,0,0
Acetatifactor intestinalis OM08-11AC,Agathobacter rectalis 18048_2_75,0.3089,pos,0.3089,0,0
Acetatifactor sp. AF34-10BH,Agathobacter rectalis 18048_2_75,0.34653,pos,0.34653,0,0
Acetatifactor sp. AF36-18BH,Agathobacter rectalis 18048_2_75,0.31837,pos,0.31837,0,0
Acetatifactor sp. AM34-9AC,Agathobacter rectalis 18048_2_75,0.33453,pos,0.33453,0,0
Acetatifactor sp. GCA_003584705,Agathobacter rectalis 18048_2_75,0.31792,pos,0.31792,0,0
Acetatifactor sp. TF08-15,Agathobacter rectalis 18048_2_75,0.31361,pos,0.31361,0,0
Acetatifactor sp. TM11-1A,Agathobacter rectalis 18048_2_75,0.32729,pos,0.32729,0,0
Agathobacter faecis GCA_015550045,Agathobacter rectalis 18048_2_75,0.45254,pos,0.45254,0,0
Agathobacter rectalis 12718_7_53,Agathobacter rectalis 18048_2_75,0.51034,pos,0.51034,0,0
Acetatifactor intestinalis 13414_6_67,Agathobacter rectalis AF06-19,0.38967,pos,0.38967,0,0
Acetatifactor intestinalis 20287_6_17,Agathobacter rectalis AF06-19,0.43396,pos,0.43396,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter rectalis AF06-19,0.40654,pos,0.40654,0,0
Acetatifactor intestinalis AM59-13,Agathobacter rectalis AF06-19,0.44078,pos,0.44078,0,0
Acetatifactor intestinalis GCA_014337175,Agathobacter rectalis AF06-19,0.40819,pos,0.40819,0,0
Acetatifactor intestinalis OM08-11AC,Agathobacter rectalis AF06-19,0.44035,pos,0.44035,0,0
Acetatifactor sp. AF34-10BH,Agathobacter rectalis AF06-19,0.4125,pos,0.4125,0,0
Acetatifactor sp. AF36-18BH,Agathobacter rectalis AF06-19,0.43098,pos,0.43098,0,0
Acetatifactor sp. AM34-9AC,Agathobacter rectalis AF06-19,0.44446,pos,0.44446,0,0
Acetatifactor sp. GCA_003584705,Agathobacter rectalis AF06-19,0.43005,pos,0.43005,0,0
Acetatifactor sp. TF08-15,Agathobacter rectalis AF06-19,0.43858,pos,0.43858,0,0
Acetatifactor sp. TM11-1A,Agathobacter rectalis AF06-19,0.44302,pos,0.44302,0,0
Agathobacter faecis GCA_015550045,Agathobacter rectalis AF06-19,0.49729,pos,0.49729,0,0
Agathobacter rectalis 12718_7_53,Agathobacter rectalis AF06-19,0.87634,pos,0.87634,0,0
Agathobacter rectalis 18048_2_75,Agathobacter rectalis AF06-19,0.50941,pos,0.50941,0,0
Acetatifactor intestinalis 13414_6_67,Agathobacter rectalis AF17-27,0.44577,pos,0.44577,0,0
Acetatifactor intestinalis 20287_6_17,Agathobacter rectalis AF17-27,0.45214,pos,0.45214,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter rectalis AF17-27,0.41094,pos,0.41094,0,0
Acetatifactor intestinalis AM59-13,Agathobacter rectalis AF17-27,0.4458,pos,0.4458,0,0
Acetatifactor intestinalis GCA_014337175,Agathobacter rectalis AF17-27,0.4579,pos,0.4579,0,0
Acetatifactor intestinalis OM08-11AC,Agathobacter rectalis AF17-27,0.47376,pos,0.47376,0,0
Acetatifactor sp. AF34-10BH,Agathobacter rectalis AF17-27,0.39786,pos,0.39786,0,0
Acetatifactor sp. AF36-18BH,Agathobacter rectalis AF17-27,0.42898,pos,0.42898,0,0
Acetatifactor sp. AM34-9AC,Agathobacter rectalis AF17-27,0.43865,pos,0.43865,0,0
Acetatifactor sp. GCA_003584705,Agathobacter rectalis AF17-27,0.4669,pos,0.4669,0,0
Acetatifactor sp. TF08-15,Agathobacter rectalis AF17-27,0.41257,pos,0.41257,0,0
Acetatifactor sp. TM11-1A,Agathobacter rectalis AF17-27,0.43566,pos,0.43566,0,0
Agathobacter faecis GCA_015550045,Agathobacter rectalis AF17-27,0.41431,pos,0.41431,0,0
Agathobacter rectalis 12718_7_53,Agathobacter rectalis AF17-27,0.72902,pos,0.72902,0,0
Agathobacter rectalis 18048_2_75,Agathobacter rectalis AF17-27,0.43128,pos,0.43128,0,0
Agathobacter rectalis AF06-19,Agathobacter rectalis AF17-27,0.75393,pos,0.75393,0,0
Acetatifactor intestinalis 13414_6_67,Agathobacter rectalis AF25-15,0.42792,pos,0.42792,0,0
Acetatifactor intestinalis 20287_6_17,Agathobacter rectalis AF25-15,0.46686,pos,0.46686,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter rectalis AF25-15,0.44674,pos,0.44674,0,0
Acetatifactor intestinalis AM59-13,Agathobacter rectalis AF25-15,0.45899,pos,0.45899,0,0
Acetatifactor intestinalis GCA_014337175,Agathobacter rectalis AF25-15,0.46059,pos,0.46059,0,0
Acetatifactor intestinalis OM08-11AC,Agathobacter rectalis AF25-15,0.47429,pos,0.47429,0,0
Acetatifactor sp. AF34-10BH,Agathobacter rectalis AF25-15,0.44328,pos,0.44328,0,0
Acetatifactor sp. AF36-18BH,Agathobacter rectalis AF25-15,0.45258,pos,0.45258,0,0
Acetatifactor sp. AM34-9AC,Agathobacter rectalis AF25-15,0.48155,pos,0.48155,0,0
Acetatifactor sp. GCA_003584705,Agathobacter rectalis AF25-15,0.45803,pos,0.45803,0,0
Acetatifactor sp. TF08-15,Agathobacter rectalis AF25-15,0.45181,pos,0.45181,0,0
Acetatifactor sp. TM11-1A,Agathobacter rectalis AF25-15,0.46271,pos,0.46271,0,0
Agathobacter faecis GCA_015550045,Agathobacter rectalis AF25-15,0.50387,pos,0.50387,0,0
Agathobacter rectalis 12718_7_53,Agathobacter rectalis AF25-15,0.83103,pos,0.83103,0,0
Agathobacter rectalis 18048_2_75,Agathobacter rectalis AF25-15,0.53107,pos,0.53107,0,0
Agathobacter rectalis AF06-19,Agathobacter rectalis AF25-15,0.85241,pos,0.85241,0,0
Agathobacter rectalis AF17-27,Agathobacter rectalis AF25-15,0.78703,pos,0.78703,0,0
Acetatifactor intestinalis 13414_6_67,Agathobacter rectalis AF36-2BH,0.42113,pos,0.42113,0,0
Acetatifactor intestinalis 20287_6_17,Agathobacter rectalis AF36-2BH,0.46744,pos,0.46744,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter rectalis AF36-2BH,0.43119,pos,0.43119,0,0
Acetatifactor intestinalis AM59-13,Agathobacter rectalis AF36-2BH,0.464,pos,0.464,0,0
Acetatifactor intestinalis GCA_014337175,Agathobacter rectalis AF36-2BH,0.44081,pos,0.44081,0,0
Acetatifactor intestinalis OM08-11AC,Agathobacter rectalis AF36-2BH,0.46603,pos,0.46603,0,0
Acetatifactor sp. AF34-10BH,Agathobacter rectalis AF36-2BH,0.43183,pos,0.43183,0,0
Acetatifactor sp. AF36-18BH,Agathobacter rectalis AF36-2BH,0.45802,pos,0.45802,0,0
Acetatifactor sp. AM34-9AC,Agathobacter rectalis AF36-2BH,0.44819,pos,0.44819,0,0
Acetatifactor sp. GCA_003584705,Agathobacter rectalis AF36-2BH,0.43909,pos,0.43909,0,0
Acetatifactor sp. TF08-15,Agathobacter rectalis AF36-2BH,0.44951,pos,0.44951,0,0
Acetatifactor sp. TM11-1A,Agathobacter rectalis AF36-2BH,0.4457,pos,0.4457,0,0
Agathobacter faecis GCA_015550045,Agathobacter rectalis AF36-2BH,0.52497,pos,0.52497,0,0
Agathobacter rectalis 12718_7_53,Agathobacter rectalis AF36-2BH,0.8584,pos,0.8584,0,0
Agathobacter rectalis 18048_2_75,Agathobacter rectalis AF36-2BH,0.52839,pos,0.52839,0,0
Agathobacter rectalis AF06-19,Agathobacter rectalis AF36-2BH,0.88188,pos,0.88188,0,0
Agathobacter rectalis AF17-27,Agathobacter rectalis AF36-2BH,0.75738,pos,0.75738,0,0
Agathobacter rectalis AF25-15,Agathobacter rectalis AF36-2BH,0.86242,pos,0.86242,0,0
Acetatifactor intestinalis 13414_6_67,Agathobacter rectalis AF67-03PH9,0.41192,pos,0.41192,0,0
Acetatifactor intestinalis 20287_6_17,Agathobacter rectalis AF67-03PH9,0.4519,pos,0.4519,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter rectalis AF67-03PH9,0.43892,pos,0.43892,0,0
Acetatifactor intestinalis AM59-13,Agathobacter rectalis AF67-03PH9,0.44863,pos,0.44863,0,0
Acetatifactor intestinalis GCA_014337175,Agathobacter rectalis AF67-03PH9,0.46095,pos,0.46095,0,0
Acetatifactor intestinalis OM08-11AC,Agathobacter rectalis AF67-03PH9,0.45581,pos,0.45581,0,0
Acetatifactor sp. AF34-10BH,Agathobacter rectalis AF67-03PH9,0.44123,pos,0.44123,0,0
Acetatifactor sp. AF36-18BH,Agathobacter rectalis AF67-03PH9,0.43461,pos,0.43461,0,0
Acetatifactor sp. AM34-9AC,Agathobacter rectalis AF67-03PH9,0.47297,pos,0.47297,0,0
Acetatifactor sp. GCA_003584705,Agathobacter rectalis AF67-03PH9,0.44825,pos,0.44825,0,0
Acetatifactor sp. TF08-15,Agathobacter rectalis AF67-03PH9,0.44747,pos,0.44747,0,0
Acetatifactor sp. TM11-1A,Agathobacter rectalis AF67-03PH9,0.45233,pos,0.45233,0,0
Agathobacter faecis GCA_015550045,Agathobacter rectalis AF67-03PH9,0.53848,pos,0.53848,0,0
Agathobacter rectalis 12718_7_53,Agathobacter rectalis AF67-03PH9,0.86995,pos,0.86995,0,0
Agathobacter rectalis 18048_2_75,Agathobacter rectalis AF67-03PH9,0.54839,pos,0.54839,0,0
Agathobacter rectalis AF06-19,Agathobacter rectalis AF67-03PH9,0.89918,pos,0.89918,0,0
Agathobacter rectalis AF17-27,Agathobacter rectalis AF67-03PH9,0.77878,pos,0.77878,0,0
Agathobacter rectalis AF25-15,Agathobacter rectalis AF67-03PH9,0.88593,pos,0.88593,0,0
Agathobacter rectalis AF36-2BH,Agathobacter rectalis AF67-03PH9,0.87294,pos,0.87294,0,0
Acetatifactor intestinalis 13414_6_67,Agathobacter rectalis AM31-7AC,0.4058,pos,0.4058,0,0
Acetatifactor intestinalis 20287_6_17,Agathobacter rectalis AM31-7AC,0.45781,pos,0.45781,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter rectalis AM31-7AC,0.41788,pos,0.41788,0,0
Acetatifactor intestinalis AM59-13,Agathobacter rectalis AM31-7AC,0.441,pos,0.441,0,0
Acetatifactor intestinalis GCA_014337175,Agathobacter rectalis AM31-7AC,0.43523,pos,0.43523,0,0
Acetatifactor intestinalis OM08-11AC,Agathobacter rectalis AM31-7AC,0.43933,pos,0.43933,0,0
Acetatifactor sp. AF34-10BH,Agathobacter rectalis AM31-7AC,0.42749,pos,0.42749,0,0
Acetatifactor sp. AF36-18BH,Agathobacter rectalis AM31-7AC,0.42704,pos,0.42704,0,0
Acetatifactor sp. AM34-9AC,Agathobacter rectalis AM31-7AC,0.43388,pos,0.43388,0,0
Acetatifactor sp. GCA_003584705,Agathobacter rectalis AM31-7AC,0.42596,pos,0.42596,0,0
Acetatifactor sp. TF08-15,Agathobacter rectalis AM31-7AC,0.41579,pos,0.41579,0,0
Acetatifactor sp. TM11-1A,Agathobacter rectalis AM31-7AC,0.426,pos,0.426,0,0
Agathobacter faecis GCA_015550045,Agathobacter rectalis AM31-7AC,0.55543,pos,0.55543,0,0
Agathobacter rectalis 12718_7_53,Agathobacter rectalis AM31-7AC,0.85141,pos,0.85141,0,0
Agathobacter rectalis 18048_2_75,Agathobacter rectalis AM31-7AC,0.565,pos,0.565,0,0
Agathobacter rectalis AF06-19,Agathobacter rectalis AM31-7AC,0.88155,pos,0.88155,0,0
Agathobacter rectalis AF17-27,Agathobacter rectalis AM31-7AC,0.77406,pos,0.77406,0,0
Agathobacter rectalis AF25-15,Agathobacter rectalis AM31-7AC,0.88908,pos,0.88908,0,0
Agathobacter rectalis AF36-2BH,Agathobacter rectalis AM31-7AC,0.89202,pos,0.89202,0,0
Agathobacter rectalis AF67-03PH9,Agathobacter rectalis AM31-7AC,0.91427,pos,0.91427,0,0
Acetatifactor intestinalis 13414_6_67,Agathobacter rectalis AM48-7,0.37627,pos,0.37627,0,0
Acetatifactor intestinalis 20287_6_17,Agathobacter rectalis AM48-7,0.39878,pos,0.39878,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter rectalis AM48-7,0.39674,pos,0.39674,0,0
Acetatifactor intestinalis AM59-13,Agathobacter rectalis AM48-7,0.39871,pos,0.39871,0,0
Acetatifactor intestinalis GCA_014337175,Agathobacter rectalis AM48-7,0.40116,pos,0.40116,0,0
Acetatifactor intestinalis OM08-11AC,Agathobacter rectalis AM48-7,0.42028,pos,0.42028,0,0
Acetatifactor sp. AF34-10BH,Agathobacter rectalis AM48-7,0.38422,pos,0.38422,0,0
Acetatifactor sp. AF36-18BH,Agathobacter rectalis AM48-7,0.38911,pos,0.38911,0,0
Acetatifactor sp. AM34-9AC,Agathobacter rectalis AM48-7,0.41657,pos,0.41657,0,0
Acetatifactor sp. GCA_003584705,Agathobacter rectalis AM48-7,0.39365,pos,0.39365,0,0
Acetatifactor sp. TF08-15,Agathobacter rectalis AM48-7,0.3876,pos,0.3876,0,0
Acetatifactor sp. TM11-1A,Agathobacter rectalis AM48-7,0.40997,pos,0.40997,0,0
Agathobacter faecis GCA_015550045,Agathobacter rectalis AM48-7,0.45783,pos,0.45783,0,0
Agathobacter rectalis 12718_7_53,Agathobacter rectalis AM48-7,0.76145,pos,0.76145,0,0
Agathobacter rectalis 18048_2_75,Agathobacter rectalis AM48-7,0.4964,pos,0.4964,0,0
Agathobacter rectalis AF06-19,Agathobacter rectalis AM48-7,0.80818,pos,0.80818,0,0
Agathobacter rectalis AF17-27,Agathobacter rectalis AM48-7,0.6975,pos,0.6975,0,0
Agathobacter rectalis AF25-15,Agathobacter rectalis AM48-7,0.78728,pos,0.78728,0,0
Agathobacter rectalis AF36-2BH,Agathobacter rectalis AM48-7,0.78844,pos,0.78844,0,0
Agathobacter rectalis AF67-03PH9,Agathobacter rectalis AM48-7,0.80618,pos,0.80618,0,0
Agathobacter rectalis AM31-7AC,Agathobacter rectalis AM48-7,0.80277,pos,0.80277,0,0
Acetatifactor intestinalis 13414_6_67,Agathobacter rectalis GCA_001404855,0.4187,pos,0.4187,0,0
Acetatifactor intestinalis 20287_6_17,Agathobacter rectalis GCA_001404855,0.44898,pos,0.44898,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter rectalis GCA_001404855,0.44124,pos,0.44124,0,0
Acetatifactor intestinalis AM59-13,Agathobacter rectalis GCA_001404855,0.45302,pos,0.45302,0,0
Acetatifactor intestinalis GCA_014337175,Agathobacter rectalis GCA_001404855,0.45121,pos,0.45121,0,0
Acetatifactor intestinalis OM08-11AC,Agathobacter rectalis GCA_001404855,0.46679,pos,0.46679,0,0
Acetatifactor sp. AF34-10BH,Agathobacter rectalis GCA_001404855,0.44102,pos,0.44102,0,0
Acetatifactor sp. AF36-18BH,Agathobacter rectalis GCA_001404855,0.44589,pos,0.44589,0,0
Acetatifactor sp. AM34-9AC,Agathobacter rectalis GCA_001404855,0.4727,pos,0.4727,0,0
Acetatifactor sp. GCA_003584705,Agathobacter rectalis GCA_001404855,0.45214,pos,0.45214,0,0
Acetatifactor sp. TF08-15,Agathobacter rectalis GCA_001404855,0.44532,pos,0.44532,0,0
Acetatifactor sp. TM11-1A,Agathobacter rectalis GCA_001404855,0.46559,pos,0.46559,0,0
Agathobacter faecis GCA_015550045,Agathobacter rectalis GCA_001404855,0.51034,pos,0.51034,0,0
Agathobacter rectalis 12718_7_53,Agathobacter rectalis GCA_001404855,0.88534,pos,0.88534,0,0
Agathobacter rectalis 18048_2_75,Agathobacter rectalis GCA_001404855,0.53951,pos,0.53951,0,0
Agathobacter rectalis AF06-19,Agathobacter rectalis GCA_001404855,0.922,pos,0.922,0,0
Agathobacter rectalis AF17-27,Agathobacter rectalis GCA_001404855,0.76928,pos,0.76928,0,0
Agathobacter rectalis AF25-15,Agathobacter rectalis GCA_001404855,0.8859,pos,0.8859,0,0
Agathobacter rectalis AF36-2BH,Agathobacter rectalis GCA_001404855,0.86704,pos,0.86704,0,0
Agathobacter rectalis AF67-03PH9,Agathobacter rectalis GCA_001404855,0.93096,pos,0.93096,0,0
Agathobacter rectalis AM31-7AC,Agathobacter rectalis GCA_001404855,0.90277,pos,0.90277,0,0
Agathobacter rectalis AM48-7,Agathobacter rectalis GCA_001404855,0.80388,pos,0.80388,0,0
